DATASET = ORTEC-hidden instance set VeRoLog competition
NAME = tools over vehicles over vehicle days over distance with 1500 requests over 40 days

DAYS = 40
CAPACITY = 40
MAX_TRIP_DISTANCE = 15000
DEPOT_COORDINATE = 0

VEHICLE_COST = 200000
VEHICLE_DAY_COST = 5000
DISTANCE_COST = 1

TOOLS = 3
1	15	66	20000000
2	12	96	40000000
3	3	102	10000000

COORDINATES = 1376
0	3917	6819
1	8284	6131
2	5505	6141
3	4396	6145
4	5534	6148
5	8209	6152
6	3505	6165
7	7510	6169
8	9134	6173
9	8677	8142
10	8713	6177
11	7828	6186
12	9432	6187
13	7086	6195
14	9037	6199
15	8400	6200
16	7376	6202
17	8126	6205
18	3979	5133
19	7988	6210
20	7349	6214
21	8208	6215
22	6031	8149
23	7730	6217
24	7461	6220
25	8220	6223
26	7650	6229
27	8007	6236
28	7638	6238
29	8952	5934
30	8390	4733
31	6373	6250
32	7870	6264
33	4019	6272
34	7082	7537
35	7788	6295
36	3881	4157
37	7805	6322
38	3490	6356
39	8235	6363
40	6212	6371
41	3500	6386
42	8344	6390
43	3479	6391
44	7733	6396
45	4837	2169
46	4315	6423
47	7451	6442
48	7569	6462
49	8286	6473
50	7538	6188
51	7412	6477
52	4382	6485
53	8330	6491
54	7809	6191
55	4043	6498
56	8683	6504
57	8050	6505
58	6791	6506
59	4600	4191
60	8445	6519
61	4287	6534
62	4353	6540
63	7608	6543
64	8212	6547
65	7024	8205
66	4220	6559
67	7480	6561
68	8668	6562
69	8258	6575
70	8484	6588
71	7994	6596
72	4032	6597
73	7893	6598
74	8158	6607
75	7641	6607
76	7349	6609
77	8495	6624
78	7537	6628
79	8295	6651
80	8056	6657
81	8669	6661
82	7861	6665
83	4190	6670
84	7685	6673
85	8803	6673
86	8023	6681
87	3883	4220
88	4008	4220
89	3725	6686
90	3474	6654
91	4002	6707
92	8388	6713
93	7950	6720
94	7186	8233
95	7366	6230
96	7002	6731
97	8743	6734
98	5817	6737
99	8331	6741
100	7192	6742
101	6488	6744
102	3508	6757
103	7192	6757
104	4199	6766
105	7758	6775
106	3850	6782
107	4114	6784
108	8303	6792
109	8747	6798
110	7348	6801
111	3782	6801
112	7689	6803
113	3363	6820
114	8320	6828
115	4032	6832
116	8581	6835
117	8062	6851
118	4140	6859
119	4585	6863
120	8243	6874
121	7749	6876
122	8681	6885
123	8170	6889
124	3885	6890
125	8538	4254
126	4033	6892
127	4010	6896
128	4198	6903
129	4627	6910
130	9547	6913
131	7820	6916
132	4633	6922
133	8188	6923
134	8451	6924
135	9426	6941
136	7481	6950
137	3957	4266
138	4289	6963
139	7514	6970
140	4064	6977
141	9260	6988
142	7185	7000
143	8741	7001
144	8559	4273
145	9155	7015
146	7855	7021
147	4107	7023
148	8780	7027
149	4590	7032
150	6395	4278
151	8507	4279
152	8489	7042
153	7540	7063
154	4795	7071
155	6173	4285
156	8052	6289
157	3995	7081
158	8018	7095
159	7938	7101
160	8542	7105
161	7738	7111
162	9156	7113
163	7706	7115
164	3506	7127
165	4598	7130
166	4316	7136
167	8256	7153
168	7784	7157
169	7379	7170
170	6903	7177
171	7562	7181
172	3511	7189
173	3936	7201
174	7269	7203
175	7101	8315
176	4416	7223
177	7757	7228
178	9179	7229
179	4219	7248
180	8108	4313
181	7443	7253
182	4102	7253
183	7980	4316
184	8542	7267
185	4300	7278
186	7395	7279
187	3762	7285
188	8268	7290
189	7416	7294
190	7522	7297
191	6610	316
192	4054	7307
193	8112	7312
194	7793	7324
195	8018	7325
196	8054	7326
197	7400	7331
198	4965	4328
199	4521	7332
200	3367	7344
201	7596	7344
202	8928	7347
203	6586	7353
204	7332	7359
205	3967	4333
206	8742	7367
207	4056	7371
208	6301	7373
209	7742	7378
210	8268	7391
211	7276	7401
212	7245	7402
213	6325	7414
214	7456	7417
215	7097	7417
216	8028	7436
217	4177	7438
218	7309	7458
219	8328	7461
220	7635	7466
221	9561	7469
222	8979	7472
223	3832	7518
224	6547	7528
225	8782	7531
226	6030	7537
227	6530	7539
228	7732	7540
229	7043	7544
230	7286	7546
231	6088	7556
232	6677	7563
233	7253	7573
234	8343	4778
235	8449	7583
